,actual,predicted
430,1933.4000293016434,1931.1088100671768
431,1932.5000063180923,1931.4820084571838
432,1931.000010728836,1931.8643054962158
433,1928.4000269174576,1932.185936331749
434,1929.0999821424484,1932.4821165800095
435,1930.800045490265,1932.7391085624695
436,1931.000010728836,1932.9619870185852
437,1929.1999391317368,1933.1675139665604
438,1928.699949145317,1933.354074716568
439,1927.1999535560608,1933.5089311599731
440,1927.5000039339066,1933.687418460846
441,1931.000010728836,1933.832561135292
442,1933.0999789237976,1933.9984384775162
443,1931.5999833345413,1934.2073229551315
444,1931.000010728836,1934.4247678518295
445,1935.9000304937363,1934.6582058668137
446,1937.0999757051468,1934.963971734047
447,1936.9999930858612,1935.3942737579346
448,1937.300043463707,1935.7954857349396
449,1936.9999930858612,1936.2128702402115
450,1936.9999930858612,1936.6118780374527
451,1943.0000010728836,1936.9755164384842
452,1944.0000066757202,1937.569671034813
453,1949.9999890327454,1938.1856880187988
454,1947.6999530792236,1938.9486674070358
455,1940.000009894371,1939.7872296571732
456,1937.0999757051468,1940.5662534236908
457,1932.3000410795212,1941.2583914995193
458,1935.0000075101852,1941.8766382932663
459,1937.300043463707,1942.3372606039047
460,1934.0000019073486,1942.7324495315552
461,1930.0000051259995,1943.0725852251053
462,1929.4000325202942,1943.3754805326462
463,1928.9999995231628,1943.653079032898
464,1929.0999821424484,1943.8746503591537
465,1932.5000063180923,1944.0413734912872
466,1930.9000281095505,1944.1990492343903
467,1932.6999459266663,1944.3496767282486
468,1935.499997496605,1944.5225254297256
469,1937.800059080124,1944.717057108879
470,1947.199963092804,1944.9416015148163
471,1947.8000382184982,1945.2900669574738
472,1950.5000046491623,1945.7375410795212
473,1949.9999890327454,1946.3354120254517
474,1943.800041437149,1946.9901559352875
475,1943.0000010728836,1947.6436952352524
476,1948.0000034570694,1948.1942275762558
477,1954.1999510526657,1948.7007019519806
478,1957.1999422311783,1949.295830488205
479,1954.0999684333801,1949.99145424366
480,1951.4000276327133,1950.6808755397797
481,1949.9999890327454,1951.257704257965
482,1958.000008225441,1951.7120215892792
483,1957.6999578475952,1952.2241345643997
484,1963.8000509738922,1952.7279434204102
485,1958.5999808311462,1953.3617988824844
486,1957.5999752283096,1953.9672050476074
487,1960.8000597953796,1954.5286045074463
488,1950.999994635582,1955.0519434213638
489,1955.9999970197678,1955.6307969093323
490,1950.999994635582,1956.213212966919
491,1949.000009059906,1956.7506996393204
492,1947.9000208377838,1957.2952089309692
493,1948.5999760627747,1957.8280565738678
494,1947.0999804735184,1958.304646372795
495,1949.3000594377518,1958.742355465889
496,1945.9999922513962,1959.1437981128693
497,1946.500007867813,1959.5160225629807
498,1937.1999583244324,1959.8448297977448
499,1940.000009894371,1960.241505265236
500,1941.099972486496,1960.5557290315628
501,1937.800059080124,1960.8320716619492
502,1939.09998691082,1961.0251936912537
503,1944.4000140428543,1961.1449370384216
504,1940.000009894371,1961.2578628063202
505,1940.0999668836594,1961.3535652160645
506,1938.9000216722488,1961.3615617752075
507,1937.0999757051468,1961.32075881958
508,1937.9999986886978,1961.3357011079788
509,1939.499994277954,1961.287465453148
510,1937.800059080124,1961.204449892044
511,1932.099973320961,1961.038982629776
512,1937.1999583244324,1960.7363179922104
513,1933.0999789237976,1960.4566690921783
514,1932.5000063180923,1960.1367554664612
515,1934.1999415159225,1959.8662564754486
516,1932.999996304512,1959.704582452774
517,1935.0000075101852,1959.5947066545486
518,1929.4999895095825,1959.522635102272
519,1932.999996304512,1959.5631304979324
520,1935.0999644994736,1959.5559540987015
521,1934.0999845266342,1959.5687690973282
522,1931.9999907016754,1959.5839676856995
523,1930.6999603509903,1959.6090594530106
524,1930.0000051259995,1959.6400204896927
525,1920.4999903440475,1959.6304861307144
526,1923.5999641418457,1959.6533224582672
527,1925.9000257253647,1959.6012935638428
528,1925.599975347519,1959.4427464008331
529,1926.4000157117844,1959.1819868087769
530,1931.9999907016754,1958.8191685676575
531,1926.0000083446503,1958.3519849777222
532,1930.0000051259995,1957.8529433012009
533,1928.5000095367432,1957.3223510980606
534,1926.699963569641,1956.8097767829895
535,1919.9000177383423,1956.3206795454025
536,1919.800060749054,1955.8685663938522
537,1922.8000519275665,1955.3078589439392
538,1922.9999915361404,1954.613926768303
539,1922.000011563301,1953.8786534070969
540,1922.8000519275665,1953.1913594007492
541,1922.000011563301,1952.5080124139786
542,1918.400022149086,1951.7929354906082
543,1916.9000265598297,1950.969751238823
544,1924.4000301361084,1950.0566056966782
545,1927.5000039339066,1949.1087827682495
546,1929.8000398874283,1948.3068714141846
547,1928.9999995231628,1947.6379797458649
548,1927.5000039339066,1946.9740602970123
549,1927.9999939203262,1946.3340023756027
550,1928.9000169038773,1945.8619747161865
551,1930.099987745285,1945.394662976265
552,1932.6999459266663,1944.9388078451157
553,1929.9000225067139,1944.5542553663254
554,1928.0999765396118,1944.2077634334564
555,1931.19995033741,1943.8546845912933
556,1929.8000398874283,1943.510166168213
557,1928.0999765396118,1943.1681594848633
558,1931.5999833345413,1942.885563135147
559,1925.1999423503876,1942.6859567165375
560,1923.3000419139862,1942.5673154592514
561,1923.4000245332718,1942.4158421754837
562,1925.6999579668045,1942.2223613262177
563,1925.0000027418137,1942.0033786296844
564,1925.6999579668045,1941.7321107387543
565,1920.4999903440475,1941.4632264375687
566,1917.8000495433807,1941.266234278679
567,1914.3000427484512,1941.0897461175919
568,1918.9999947547913,1940.9212288856506
569,1919.5000103712082,1940.7230577468872
570,1915.4999879598618,1940.5025885105133
571,1916.599976181984,1940.2548233270645
572,1915.3000483512878,1939.9815306663513
573,1915.699953198433,1939.7197971343994
574,1918.1999543905258,1939.459729552269
575,1914.999997973442,1939.322788476944
576,1918.0999717712402,1939.1890511512756
577,1917.0000091791153,1939.052853345871
578,1910.0999782085419,1938.9220122098923
579,1908.0999670028687,1938.8008848428726
580,1908.1999496221542,1938.6375448703766
581,1908.0000100135803,1938.3589724302292
582,1908.0000100135803,1938.0497977733612
583,1909.5999882221222,1937.796522140503
584,1908.0000100135803,1937.4718925952911
585,1907.0999870300293,1937.1572587490082
586,1908.9999899864197,1936.7779347896576
587,1911.000001192093,1936.5078715085983
